MSSV,GT,DT,KV,M1,M2,M3,KT,NGAYTHI,DINHHUONGNGHENGHIEP
SV0058,F,,1,2,5.5,5,A1,8/15/2020,Yes
SV0059,M,,2NT,2.25,5.25,6,A,8/15/2020,Yes
SV0060,M,1,1,3,4,4,D1,8/15/2020,No
SV0061,M,,1,2.5,3.5,6.5,A,10/7/2021,Yes
SV0062,F,,1,3.5,3.5,4.25,A,10/7/2021,Yes
SV0063,M,,1,4.25,2.75,3.25,A,10/7/2021,No
SV0064,M,,1,2.25,3.5,5,A,10/7/2021,No
SV0065,M,6,2,4.25,3.75,6,A,10/7/2021,No
SV0066,M,,1,2,3.75,4.75,A,10/7/2021,No
SV0067,M,,2NT,4,4.5,3.25,A,10/7/2021,Yes
SV0068,M,,1,4.5,4.5,5.5,B,10/7/2021,No
SV0069,M,,1,3.75,6,4.5,B,10/7/2021,Yes
SV0070,M,,1,2.25,3.75,6.25,B,10/7/2021,Yes
SV0071,F,,2,2.25,4.5,7.25,A,10/7/2021,No
SV0072,F,,1,3.5,4.75,3.5,B,10/7/2021,Yes
SV0073,M,,1,1.5,4.5,5.5,A,10/7/2021,No
SV0074,F,,1,2,4.5,3.75,A,10/7/2021,Yes
SV0075,F,,1,5.25,3.5,4.5,A,10/7/2021,No
SV0076,M,,1,4.75,3.5,3.25,A,10/7/2021,No
SV0077,F,,2NT,3.25,4,3.5,A,10/7/2021,Yes
SV0078,M,,1,3.25,4,4,B,10/7/2021,No
SV0079,M,,1,3.5,4.5,4.25,B,10/7/2021,No
SV0080,F,,2NT,2,3.5,5.5,A1,10/7/2021,No
SV0081,F,,2NT,4.5,3.5,4.75,A,7/20/2022,Yes
SV0082,M,,1,2.5,4.5,4.25,A,7/20/2022,No
SV0083,F,,1,3.25,6,4.25,B,7/20/2022,No
SV0084,F,,1,1.75,4.75,6,B,7/20/2022,Yes
SV0085,M,,1,6.5,4.5,8,A,7/20/2022,Yes
SV0086,F,,2NT,3.75,5.75,4.75,B,7/20/2022,Yes
SV0087,M,,2NT,2,4.75,6.5,A,7/20/2022,No
SV0088,M,,1,1.75,4,4.5,A,7/20/2022,No
SV0089,M,,1,3.75,4,3.5,A,7/20/2022,Yes
SV0090,M,,1,2,5.5,5.5,A,7/20/2022,Yes
SV0091,M,,2,6.25,4,6.5,A,7/20/2022,Yes
SV0092,M,,2NT,4.75,4.75,4.5,A,7/20/2022,No
SV0093,M,,1,3.25,5.25,4.25,A,7/20/2022,Yes
SV0094,M,,1,3.5,4.25,5,A,7/20/2022,Yes
SV0095,M,,1,4.25,2.5,4.75,A,7/20/2022,No
SV0096,F,,1,5.25,1.5,6.25,C,7/20/2022,Yes
SV0097,F,,1,5.25,3.75,4.75,C,7/20/2022,No
SV0098,M,,2NT,7,8,4,C,7/20/2022,Yes
SV0099,M,,1,5,3.5,5.5,C,7/20/2022,No
SV00100,M,,2NT,5.25,2.5,4.25,C,7/20/2022,Yes
